,date,den_metro_ww_smooth,den_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
114,2022-10-23,161953.62500000003,54.714285714285715,145479.85000000003,128607.63750000003,123796.41250000003,52.42857142857143,56.85714285714286,53.0,,,,,0,1
115,2022-10-30,175796.45,79.71428571428571,161953.62500000003,145479.85000000003,128607.63750000003,54.714285714285715,52.42857142857143,56.85714285714286,,,,,0,1
116,2022-11-06,191331.50000000003,100.71428571428571,175796.45,161953.62500000003,145479.85000000003,79.71428571428571,54.714285714285715,52.42857142857143,,,,,0,1
117,2022-11-13,250627.075,105.71428571428572,191331.50000000003,175796.45,161953.62500000003,100.71428571428571,79.71428571428571,54.714285714285715,,,,,0,1
118,2022-11-20,310684.875,110.71428571428571,250627.075,191331.50000000003,175796.45,105.71428571428572,100.71428571428571,79.71428571428571,,,,,0,1
119,2022-11-27,330074.3,139.14285714285714,310684.875,250627.075,191331.50000000003,110.71428571428571,105.71428571428572,100.71428571428571,,,,,0,1
120,2022-12-04,299271.05,122.42857142857144,330074.3,310684.875,250627.075,139.14285714285714,110.71428571428571,105.71428571428572,,,,,0,1
121,2022-12-11,279071.475,102.71428571428571,299271.05,330074.3,310684.875,122.42857142857144,139.14285714285714,110.71428571428571,,,,,0,1
122,2022-12-18,284713.27499999997,97.14285714285714,279071.475,299271.05,330074.3,102.71428571428571,122.42857142857144,139.14285714285714,,,,,0,1
123,2022-12-25,263057.44999999995,82.85714285714285,284713.27499999997,279071.475,299271.05,97.14285714285714,102.71428571428571,122.42857142857144,,,,,0,1
124,2023-01-01,236495.7,84.42857142857143,263057.44999999995,284713.27499999997,279071.475,82.85714285714285,97.14285714285714,102.71428571428571,,,,,0,1
125,2023-01-08,207358.45,79.42857142857143,236495.7,263057.44999999995,284713.27499999997,84.42857142857143,82.85714285714285,97.14285714285714,,,,,0,1
126,2023-01-15,199392.575,75.14285714285714,207358.45,236495.7,263057.44999999995,79.42857142857143,84.42857142857143,82.85714285714285,,,,,0,1
127,2023-01-22,168490.725,70.14285714285714,199392.575,207358.45,236495.7,75.14285714285714,79.42857142857143,84.42857142857143,,,,,0,1
128,2023-01-29,157215.175,59.285714285714285,168490.725,199392.575,207358.45,70.14285714285714,75.14285714285714,79.42857142857143,,,,,0,1
129,2023-02-05,161436.0,59.14285714285715,157215.175,168490.725,199392.575,59.285714285714285,70.14285714285714,75.14285714285714,,,,,0,1
130,2023-02-12,154726.575,62.28571428571428,161436.0,157215.175,168490.725,59.14285714285715,59.285714285714285,70.14285714285714,,,,,0,1
131,2023-02-19,142491.675,57.857142857142854,154726.575,161436.0,157215.175,62.28571428571428,59.14285714285715,59.285714285714285,,,,,0,1
132,2023-02-26,191453.8,59.0,142491.675,154726.575,161436.0,57.857142857142854,62.28571428571428,59.14285714285715,,,,,0,1
133,2023-03-05,204861.075,56.99999999999999,191453.8,142491.675,154726.575,59.0,57.857142857142854,62.28571428571428,,,,,0,1
134,2023-03-12,150180.75,54.42857142857143,204861.075,191453.8,142491.675,56.99999999999999,59.0,57.857142857142854,,,,,0,1
135,2023-03-19,165209.375,57.00000000000001,150180.75,204861.075,191453.8,54.42857142857143,56.99999999999999,59.0,,,,,0,1
136,2023-03-26,183290.17500000002,59.14285714285714,165209.375,150180.75,204861.075,57.00000000000001,54.42857142857143,56.99999999999999,,,,,0,1
